City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cayenne,GF,2022-04-24 14:45:38,4.9333,-52.3333,86.04,9,100,8.05
1,Sao Filipe,CV,2022-04-24 14:45:39,14.8961,-24.4956,75.99,69,4,4.36
2,Bluff,NZ,2022-04-24 14:45:39,-46.6,168.3333,52.81,83,91,19.08
3,Rikitea,PF,2022-04-24 14:45:39,-23.1203,-134.9692,73.99,79,100,6.49
4,Albany,US,2022-04-24 14:45:40,42.6001,-73.9662,57.63,43,93,4.0
5,Iroquois Falls,CA,2022-04-24 14:45:40,48.7669,-80.6831,44.64,88,100,14.65
6,Torbay,CA,2022-04-24 14:45:40,47.6666,-52.7314,37.27,96,100,21.85
7,Harper,LR,2022-04-24 14:45:41,4.375,-7.7169,86.32,67,98,10.51
8,Sangar,RU,2022-04-24 14:45:41,63.9242,127.4739,5.83,98,56,2.33
9,Buraydah,SA,2022-04-24 14:45:41,26.326,43.975,84.4,27,95,7.16
10,Dikson,RU,2022-04-24 14:45:42,73.5069,80.5464,9.57,94,99,11.41
11,Da Lat,VN,2022-04-24 14:45:42,11.9465,108.4419,61.95,98,59,0.43
12,Pevek,RU,2022-04-24 14:45:42,69.7008,170.3133,0.05,99,99,3.47
13,North Bend,US,2022-04-24 14:45:43,43.4065,-124.2243,47.16,99,100,5.75
14,Tuktoyaktuk,CA,2022-04-24 14:45:43,69.4541,-133.0374,10.4,85,0,4.61
15,Kabo,CF,2022-04-24 14:45:43,7.6994,18.629,97.32,29,98,6.46
16,Castro,BR,2022-04-24 14:45:44,-24.7911,-50.0119,73.45,66,44,2.64
17,Voh,NC,2022-04-24 14:45:44,-20.9667,164.7,70.72,91,15,5.23
18,Tiksi,RU,2022-04-24 14:45:44,71.6872,128.8694,-3.64,100,98,2.39
19,Busselton,AU,2022-04-24 14:45:45,-33.65,115.3333,63.63,52,100,9.57
20,Atuona,PF,2022-04-24 14:45:45,-9.8,-139.0333,78.53,76,27,19.73
21,Aasiaat,GL,2022-04-24 14:45:45,68.7098,-52.8699,26.69,90,100,6.62
22,Outram,MY,2022-04-24 14:45:46,1.2829,103.8379,84.18,77,75,5.75
23,Hyeres,FR,2022-04-24 14:45:46,43.1167,6.1167,65.05,66,20,12.66
24,Yellowknife,CA,2022-04-24 14:45:46,62.456,-114.3525,18.12,73,0,12.66
25,Jamestown,US,2022-04-24 14:43:35,42.097,-79.2353,77.02,40,0,7.0
26,Kathu,TH,2022-04-24 14:45:47,7.9178,98.3332,76.82,72,72,1.1
27,Kamaishi,JP,2022-04-24 14:45:47,39.2667,141.8833,52.9,93,68,6.87
28,Turukhansk,RU,2022-04-24 14:45:47,65.8167,87.9833,17.06,94,100,6.78
29,Imbituba,BR,2022-04-24 14:45:48,-28.24,-48.6703,69.85,61,0,11.18
30,Green River,US,2022-04-24 14:45:48,41.5286,-109.4662,37.98,73,100,1.01
31,Maniitsoq,GL,2022-04-24 14:45:48,65.4167,-52.9,28.89,94,99,5.03
32,Hithadhoo,MV,2022-04-24 14:45:49,-0.6,73.0833,84.29,72,91,9.1
33,New Norfolk,AU,2022-04-24 14:45:49,-42.7826,147.0587,54.91,82,56,1.25
34,San Borja,BO,2022-04-24 14:45:49,-14.8167,-66.85,83.12,79,91,4.43
35,Punta Arenas,CL,2022-04-24 14:43:04,-53.15,-70.9167,41.11,93,75,3.44
36,Ushuaia,AR,2022-04-24 14:41:27,-54.8,-68.3,38.86,87,20,4.61
37,Los Llanos De Aridane,ES,2022-04-24 14:42:55,28.6585,-17.9182,64.15,72,40,9.22
38,Tamandare,BR,2022-04-24 14:45:50,-8.7597,-35.1047,84.76,60,100,10.16
39,Puerto Ayora,EC,2022-04-24 14:45:50,-0.7393,-90.3518,71.56,80,39,8.1
40,Tingi,TZ,2022-04-24 14:45:51,-11.3,35.0333,69.33,89,100,1.79
41,Hermanus,ZA,2022-04-24 14:41:40,-34.4187,19.2345,62.8,75,11,9.84
42,Severo-Kurilsk,RU,2022-04-24 14:45:51,50.6789,156.125,32.7,87,99,14.67
43,Provideniya,RU,2022-04-24 14:45:51,64.3833,-173.3,22.78,81,7,4.05
44,Kieta,PG,2022-04-24 14:45:52,-6.2167,155.6333,78.71,81,96,1.68
45,Simao,CN,2022-04-24 14:45:52,22.7886,100.9748,66.25,65,2,2.51
46,Ilulissat,GL,2022-04-24 14:44:14,69.2167,-51.1,30.22,80,75,0.0
47,Saint George,US,2022-04-24 14:46:52,37.1041,-113.5841,53.64,37,0,4.61
48,Saskylakh,RU,2022-04-24 14:46:53,71.9167,114.0833,-5.35,100,25,2.89
49,King City,US,2022-04-24 14:46:53,36.2127,-121.126,58.96,46,5,2.8
50,Georgetown,MY,2022-04-24 14:46:50,5.4112,100.3354,84.13,93,20,10.36
51,Longyearbyen,SJ,2022-04-24 14:42:44,78.2186,15.6401,12.04,57,40,11.5
52,Port Alfred,ZA,2022-04-24 14:41:53,-33.5906,26.891,63.18,81,98,5.01
53,Guerrero Negro,MX,2022-04-24 14:43:39,27.9769,-114.0611,62.11,74,0,4.54
54,Upernavik,GL,2022-04-24 14:46:54,72.7868,-56.1549,7.52,81,58,10.56
55,Mataura,NZ,2022-04-24 14:46:54,-46.1927,168.8643,52.48,87,100,6.22
56,College,US,2022-04-24 14:46:54,64.8569,-147.8028,31.59,82,40,5.75
57,Luderitz,NA,2022-04-24 14:44:52,-26.6481,15.1594,68.59,38,0,30.74
58,Stromness,GB,2022-04-24 14:46:55,58.965,-3.296,48.16,77,100,7.0
59,Olga,RU,2022-04-24 14:46:55,43.7444,135.2892,48.74,47,42,5.5
60,Moose Factory,CA,2022-04-24 14:46:56,51.2585,-80.6094,33.8,86,100,13.8
61,Rantepao,ID,2022-04-24 14:46:56,-2.9701,119.8978,68.18,99,97,2.19
62,Chokurdakh,RU,2022-04-24 14:46:56,70.6333,147.9167,-14.28,100,79,3.11
63,Esperance,AU,2022-04-24 14:46:57,-33.8667,121.9,57.04,83,1,10.63
64,Arraial Do Cabo,BR,2022-04-24 14:46:57,-22.9661,-42.0278,82.36,69,40,9.22
65,Shitanjing,CN,2022-04-24 14:46:57,39.2342,106.3439,62.17,16,5,3.24
66,Lagos,NG,2022-04-24 14:45:44,6.5833,3.75,80.92,70,100,6.29
67,Kaitangata,NZ,2022-04-24 14:46:58,-46.2817,169.8464,51.89,81,100,13.6
68,Qaanaaq,GL,2022-04-24 14:46:58,77.484,-69.3632,5.16,71,18,8.25
69,Laguna,US,2022-04-24 14:46:15,38.421,-121.4238,58.08,76,0,0.0
70,Qandala,SO,2022-04-24 14:46:59,11.472,49.8728,85.39,66,65,4.94
71,Saint-Philippe,RE,2022-04-24 14:46:59,-21.3585,55.7679,76.59,80,98,15.75
72,Kokkarion,GR,2022-04-24 14:46:59,37.7764,26.8939,76.78,65,0,6.91
73,Klaksvik,FO,2022-04-24 14:46:59,62.2266,-6.589,47.32,87,100,18.63
74,Manturovo,RU,2022-04-24 14:47:00,58.3353,44.7619,52.09,68,99,5.01
75,Pochutla,MX,2022-04-24 14:47:00,15.7432,-96.4661,85.82,50,0,3.8
76,Tessalit,ML,2022-04-24 14:47:00,20.1986,1.0114,95.79,5,0,14.07
77,Hobart,AU,2022-04-24 14:45:02,-42.8794,147.3294,55.26,88,86,6.91
78,Humboldt,US,2022-04-24 14:47:01,40.6665,-123.9178,40.86,83,91,1.01
79,Avarua,CK,2022-04-24 14:42:26,-21.2078,-159.775,78.85,83,75,5.75
80,Siloam Springs,US,2022-04-24 14:47:01,36.1881,-94.5405,68.2,93,100,15.01
81,Tautira,PF,2022-04-24 14:47:02,-17.7333,-149.15,79.36,75,69,5.32
82,Korla,CN,2022-04-24 14:47:02,41.7597,86.1469,72.45,24,56,8.23
83,Pisco,PE,2022-04-24 14:47:02,-13.7,-76.2167,64.45,94,100,3.44
84,Storsteinnes,NO,2022-04-24 14:47:03,69.2408,19.2344,43.45,100,100,2.93
85,Cape Town,ZA,2022-04-24 14:45:23,-33.9258,18.4232,66.11,65,40,14.97
86,Carnarvon,AU,2022-04-24 14:44:50,-24.8667,113.6333,68.07,88,4,1.14
87,Portland,US,2022-04-24 14:44:47,45.5234,-122.6762,48.7,84,20,4.0
88,Vaini,TO,2022-04-24 14:47:03,-21.2,-175.2,69.96,94,75,1.14
89,Kaeo,NZ,2022-04-24 14:47:04,-35.1,173.7833,58.32,94,42,6.98
90,Rakaia,NZ,2022-04-24 14:47:04,-43.75,172.0167,46.29,89,100,5.79
